id,expression,category
1,Nice to meet you,Greetings & Farewells
2,How are you doing?,Greetings & Farewells
3,What's up?,Greetings & Farewells
4,Long time no see,Greetings & Farewells
5,Good to see you,Greetings & Farewells
6,How have you been?,Greetings & Farewells
7,Take care,Greetings & Farewells
8,See you later,Greetings & Farewells
9,Catch you later,Greetings & Farewells
10,Have a good one,Greetings & Farewells
11,Have a great day,Greetings & Farewells
12,See you soon,Greetings & Farewells
13,Until next time,Greetings & Farewells
14,It was nice seeing you,Greetings & Farewells
15,Keep in touch,Greetings & Farewells
16,Stay in touch,Greetings & Farewells
17,Drop me a line,Greetings & Farewells
18,How's it going?,Greetings & Farewells
19,What's new?,Greetings & Farewells
20,What's going on?,Greetings & Farewells
21,How's everything?,Greetings & Farewells
22,How's life treating you?,Greetings & Farewells
23,Good morning,Greetings & Farewells
24,Good afternoon,Greetings & Farewells
25,Good evening,Greetings & Farewells
26,Good night,Greetings & Farewells
27,Sleep tight,Greetings & Farewells
28,Sweet dreams,Greetings & Farewells
29,Rise and shine,Greetings & Farewells
30,Welcome back,Greetings & Farewells
31,Fancy seeing you here,Greetings & Farewells
32,Small world,Greetings & Farewells
33,Speak of the devil,Greetings & Farewells
34,I was just thinking about you,Greetings & Farewells
35,Let's get together soon,Greetings & Farewells
36,We should hang out,Greetings & Farewells
37,See you around,Greetings & Farewells
38,Peace out,Greetings & Farewells
39,Howdy,Greetings & Farewells
40,Hey there,Greetings & Farewells
41,I'm feeling blue,Feelings & Emotions
42,I'm on top of the world,Feelings & Emotions
43,I'm under the weather,Feelings & Emotions
44,I'm over the moon,Feelings & Emotions
45,I'm walking on air,Feelings & Emotions
46,I'm feeling down,Feelings & Emotions
47,I'm feeling off today,Feelings & Emotions
48,I'm not myself today,Feelings & Emotions
49,I'm feeling out of sorts,Feelings & Emotions
50,I'm on cloud nine,Feelings & Emotions
51,I'm in a good mood,Feelings & Emotions
52,I'm in a bad mood,Feelings & Emotions
53,I'm feeling overwhelmed,Feelings & Emotions
54,I'm feeling stressed out,Feelings & Emotions
55,I'm feeling burned out,Feelings & Emotions
56,I'm at my wit's end,Feelings & Emotions
57,I'm beside myself,Feelings & Emotions
58,I'm over it,Feelings & Emotions
59,I'm fed up,Feelings & Emotions
60,I've had it up to here,Feelings & Emotions
61,I'm losing my mind,Feelings & Emotions
62,I'm at peace,Feelings & Emotions
63,I'm thrilled,Feelings & Emotions
64,I'm ecstatic,Feelings & Emotions
65,I'm devastated,Feelings & Emotions
66,I'm heartbroken,Feelings & Emotions
67,I'm green with envy,Feelings & Emotions
68,I'm seeing red,Feelings & Emotions
69,I'm tickled pink,Feelings & Emotions
70,I'm on edge,Feelings & Emotions
71,I'm nervous as a cat,Feelings & Emotions
72,I'm scared stiff,Feelings & Emotions
73,I'm bored to tears,Feelings & Emotions
74,I'm bored out of my mind,Feelings & Emotions
75,I'm pumped up,Feelings & Emotions
76,I'm fired up,Feelings & Emotions
77,I'm feeling nostalgic,Feelings & Emotions
78,I'm homesick,Feelings & Emotions
79,I'm head over heels,Feelings & Emotions
80,I'm smitten,Feelings & Emotions
81,I'm in a funk,Feelings & Emotions
82,I'm in high spirits,Feelings & Emotions
83,I'm in low spirits,Feelings & Emotions
84,I'm feeling hopeful,Feelings & Emotions
85,I'm feeling hopeless,Feelings & Emotions
86,I'm on the verge of tears,Feelings & Emotions
87,I'm falling apart,Feelings & Emotions
88,I'm losing it,Feelings & Emotions
89,I'm feeling grateful,Feelings & Emotions
90,I'm feeling blessed,Feelings & Emotions
91,I'm feeling lucky,Feelings & Emotions
92,I'm feeling confident,Feelings & Emotions
93,I'm feeling insecure,Feelings & Emotions
94,I'm feeling inspired,Feelings & Emotions
95,I'm feeling motivated,Feelings & Emotions
96,I'm feeling drained,Feelings & Emotions
97,I'm feeling energized,Feelings & Emotions
98,I'm feeling exhausted,Feelings & Emotions
99,I'm feeling refreshed,Feelings & Emotions
100,I'm feeling restless,Feelings & Emotions
101,I'm feeling calm,Feelings & Emotions
102,I'm feeling uneasy,Feelings & Emotions
103,I'm feeling frustrated,Feelings & Emotions
104,I'm feeling disappointed,Feelings & Emotions
105,I'm feeling satisfied,Feelings & Emotions
106,I'm feeling fulfilled,Feelings & Emotions
107,I'm feeling empty,Feelings & Emotions
108,I'm feeling numb,Feelings & Emotions
109,I'm feeling torn,Feelings & Emotions
110,I'm feeling conflicted,Feelings & Emotions
111,I'm feeling confused,Feelings & Emotions
112,I'm feeling lost,Feelings & Emotions
113,I'm feeling trapped,Feelings & Emotions
114,I'm feeling free,Feelings & Emotions
115,I'm feeling like a million bucks,Feelings & Emotions
116,I need a break,Rest & Relaxation
117,I need some time off,Rest & Relaxation
118,I need to recharge,Rest & Relaxation
119,I need some rest,Rest & Relaxation
120,I need to sleep on it,Rest & Relaxation
121,I need to clear my head,Rest & Relaxation
122,I need some fresh air,Rest & Relaxation
123,I need some space,Rest & Relaxation
124,I need time to think,Rest & Relaxation
125,I'm running on empty,Rest & Relaxation
126,I'm burning the candle at both ends,Rest & Relaxation
127,I need to slow down,Rest & Relaxation
128,I need to take it easy,Rest & Relaxation
129,I need a vacation,Rest & Relaxation
130,I need a change of scenery,Rest & Relaxation
131,I'm dead on my feet,Rest & Relaxation
132,I can barely keep my eyes open,Rest & Relaxation
133,I'm ready to drop,Rest & Relaxation
134,I've been burning the midnight oil,Rest & Relaxation
135,I'm going to hit the hay,Rest & Relaxation
136,I'm going to hit the sack,Rest & Relaxation
137,I'm going to catch some z's,Rest & Relaxation
138,I need to step away,Rest & Relaxation
139,I need to disconnect,Rest & Relaxation
140,I haven't slept in days,Rest & Relaxation
141,I couldn't agree more,Agreement & Disagreement
142,You took the words right out of my mouth,Agreement & Disagreement
143,That's exactly what I was thinking,Agreement & Disagreement
144,You're preaching to the choir,Agreement & Disagreement
145,I see where you're coming from,Agreement & Disagreement
146,Fair enough,Agreement & Disagreement
147,That makes sense,Agreement & Disagreement
148,I get what you're saying,Agreement & Disagreement
149,Point taken,Agreement & Disagreement
150,I stand corrected,Agreement & Disagreement
151,You have a point,Agreement & Disagreement
152,I'll give you that,Agreement & Disagreement
153,I beg to differ,Agreement & Disagreement
154,That's debatable,Agreement & Disagreement
155,I'm not so sure about that,Agreement & Disagreement
156,I have my doubts,Agreement & Disagreement
157,With all due respect,Agreement & Disagreement
158,I'm on the fence,Agreement & Disagreement
159,It's a gray area,Agreement & Disagreement
160,That depends,Agreement & Disagreement
161,We'll have to agree to disagree,Agreement & Disagreement
162,No way,Agreement & Disagreement
163,Absolutely not,Agreement & Disagreement
164,That's out of the question,Agreement & Disagreement
165,I don't buy it,Agreement & Disagreement
166,That doesn't add up,Agreement & Disagreement
167,That doesn't make sense,Agreement & Disagreement
168,That's beside the point,Agreement & Disagreement
169,I see both sides,Agreement & Disagreement
170,Having said that,Agreement & Disagreement
171,On the other hand,Agreement & Disagreement
172,Then again,Agreement & Disagreement
173,All things considered,Agreement & Disagreement
174,At the end of the day,Agreement & Disagreement
175,When all is said and done,Agreement & Disagreement
176,Bottom line,Agreement & Disagreement
177,Long story short,Agreement & Disagreement
178,The thing is,Agreement & Disagreement
179,Absolutely,Agreement & Disagreement
180,Totally,Agreement & Disagreement
181,Let's touch base,Work & Business
182,Let's circle back,Work & Business
183,Let's take this offline,Work & Business
184,I'll keep you in the loop,Work & Business
185,Keep me posted,Work & Business
186,I'll follow up,Work & Business
187,Can we jump on a call?,Work & Business
188,What's the timeline?,Work & Business
189,What's the deadline?,Work & Business
190,We're behind schedule,Work & Business
191,We're ahead of schedule,Work & Business
192,We're on track,Work & Business
193,We need to pivot,Work & Business
194,Let's think outside the box,Work & Business
195,Let's hit the ground running,Work & Business
196,Let's table that for now,Work & Business
197,Let's put a pin in it,Work & Business
198,That's a game changer,Work & Business
199,It's a win-win,Work & Business
200,It's a no-brainer,Work & Business
201,It's low-hanging fruit,Work & Business
202,We need to scale up,Work & Business
203,Let's streamline this,Work & Business
204,Let's get on the same page,Work & Business
205,We're not on the same page,Work & Business
206,Let's do a deep dive,Work & Business
207,Let's take a step back,Work & Business
208,Let's look at the big picture,Work & Business
209,What's the bottom line?,Work & Business
210,Time is money,Work & Business
211,We need to be proactive,Work & Business
212,Let's be strategic,Work & Business
213,What's the plan B?,Work & Business
214,We need a contingency plan,Work & Business
215,Let's manage expectations,Work & Business
216,Under promise and over deliver,Work & Business
217,Let's set clear expectations,Work & Business
218,Let's run the numbers,Work & Business
219,Let's crunch the numbers,Work & Business
220,It's not rocket science,Work & Business
221,Let's not reinvent the wheel,Work & Business
222,Going forward,Work & Business
223,Moving forward,Work & Business
224,As per my last email,Work & Business
225,Please advise,Work & Business
226,As discussed,Work & Business
227,Per our conversation,Work & Business
228,I wanted to follow up,Work & Business
229,Just checking in,Work & Business
230,Looping in,Work & Business
231,In the pipeline,Work & Business
232,On my radar,Work & Business
233,Off my plate,Work & Business
234,In the works,Work & Business
235,In progress,Work & Business
236,Green light,Work & Business
237,All systems go,Work & Business
238,Ready to launch,Work & Business
239,I'm swamped,Work & Business
240,I'm slammed,Work & Business
241,I have a lot on my plate,Work & Business
242,I'm stretched thin,Work & Business
243,I'm putting out fires,Work & Business
244,Let's prioritize,Work & Business
245,What are the action items?,Work & Business
246,Let's get everyone aligned,Work & Business
247,Best practices,Work & Business
248,Lessons learned,Work & Business
249,I'm bogged down,Work & Business
250,Back burner,Work & Business
251,You've got my back,Relationships & Social
252,I've got your back,Relationships & Social
253,We're in this together,Relationships & Social
254,You can count on me,Relationships & Social
255,I'll be there for you,Relationships & Social
256,You can lean on me,Relationships & Social
257,I'm here for you,Relationships & Social
258,That's what friends are for,Relationships & Social
259,You're one of a kind,Relationships & Social
260,You're one in a million,Relationships & Social
261,You mean the world to me,Relationships & Social
262,You're my rock,Relationships & Social
263,You're my anchor,Relationships & Social
264,We go way back,Relationships & Social
265,We have history,Relationships & Social
266,We've been through a lot together,Relationships & Social
267,Birds of a feather flock together,Relationships & Social
268,Opposites attract,Relationships & Social
269,The more the merrier,Relationships & Social
270,Don't burn your bridges,Relationships & Social
271,Don't bite the hand that feeds you,Relationships & Social
272,Cut someone some slack,Relationships & Social
273,Give someone the benefit of the doubt,Relationships & Social
274,Meet halfway,Relationships & Social
275,Bury the hatchet,Relationships & Social
276,Let bygones be bygones,Relationships & Social
277,Turn over a new leaf,Relationships & Social
278,No hard feelings,Relationships & Social
279,Water under the bridge,Relationships & Social
280,Let it go,Relationships & Social
281,Move on,Relationships & Social
282,Life goes on,Relationships & Social
283,Everything happens for a reason,Relationships & Social
284,Things could be worse,Relationships & Social
285,Count your blessings,Relationships & Social
286,Look on the bright side,Relationships & Social
287,Every cloud has a silver lining,Relationships & Social
288,When life gives you lemons make lemonade,Relationships & Social
289,Keep your chin up,Relationships & Social
290,Hang in there,Relationships & Social
291,It gets better,Relationships & Social
292,This too shall pass,Relationships & Social
293,Better days are coming,Relationships & Social
294,Light at the end of the tunnel,Relationships & Social
295,Things will work out,Relationships & Social
296,Everything will be fine,Relationships & Social
297,Don't worry be happy,Relationships & Social
298,Seize the day,Relationships & Social
299,Live in the moment,Relationships & Social
300,Take it one day at a time,Relationships & Social
301,Can you do me a favor?,Requests & Suggestions
302,Could you lend me a hand?,Requests & Suggestions
303,Mind if I ask you something?,Requests & Suggestions
304,Would you mind?,Requests & Suggestions
305,If you don't mind,Requests & Suggestions
306,If it's not too much trouble,Requests & Suggestions
307,When you get a chance,Requests & Suggestions
308,At your earliest convenience,Requests & Suggestions
309,Take your time,Requests & Suggestions
310,No rush,Requests & Suggestions
311,Whenever you're ready,Requests & Suggestions
312,I hate to bother you but,Requests & Suggestions
313,Sorry to bother you,Requests & Suggestions
314,I have a quick question,Requests & Suggestions
315,Can I pick your brain?,Requests & Suggestions
316,Can I get your input?,Requests & Suggestions
317,What do you think?,Requests & Suggestions
318,What's your take on this?,Requests & Suggestions
319,Any thoughts?,Requests & Suggestions
320,What do you recommend?,Requests & Suggestions
321,Any suggestions?,Requests & Suggestions
322,What would you do in my shoes?,Requests & Suggestions
323,Help me out here,Requests & Suggestions
324,I could use some advice,Requests & Suggestions
325,What's your opinion?,Requests & Suggestions
326,I'd love to hear your thoughts,Requests & Suggestions
327,I value your opinion,Requests & Suggestions
328,Whatever you think is best,Requests & Suggestions
329,Your call,Requests & Suggestions
330,Just a thought,Requests & Suggestions
331,Off the top of my head,Requests & Suggestions
332,For what it's worth,Requests & Suggestions
333,Take it or leave it,Requests & Suggestions
334,Just saying,Requests & Suggestions
335,Don't quote me on that,Requests & Suggestions
336,Take it with a grain of salt,Requests & Suggestions
337,Don't hold me to that,Requests & Suggestions
338,If you have a minute,Requests & Suggestions
339,Got any ideas?,Requests & Suggestions
340,What would you suggest?,Requests & Suggestions
341,I'm sorry,Apologies & Forgiveness
342,I apologize,Apologies & Forgiveness
343,My bad,Apologies & Forgiveness
344,My mistake,Apologies & Forgiveness
345,I messed up,Apologies & Forgiveness
346,I was wrong,Apologies & Forgiveness
347,I owe you an apology,Apologies & Forgiveness
348,I should have known better,Apologies & Forgiveness
349,I didn't mean to,Apologies & Forgiveness
350,It wasn't intentional,Apologies & Forgiveness
351,Please forgive me,Apologies & Forgiveness
352,Can you forgive me?,Apologies & Forgiveness
353,No offense intended,Apologies & Forgiveness
354,No offense taken,Apologies & Forgiveness
355,I take full responsibility,Apologies & Forgiveness
356,That's on me,Apologies & Forgiveness
357,Don't blame yourself,Apologies & Forgiveness
358,It's not your fault,Apologies & Forgiveness
359,It happens,Apologies & Forgiveness
360,Everyone makes mistakes,Apologies & Forgiveness
361,Don't be too hard on yourself,Apologies & Forgiveness
362,Let it slide,Apologies & Forgiveness
363,Forgive and forget,Apologies & Forgiveness
364,I should have been more careful,Apologies & Forgiveness
365,I wasn't thinking,Apologies & Forgiveness
366,I hope you can forgive me,Apologies & Forgiveness
367,Blame me,Apologies & Forgiveness
368,I made a mistake,Apologies & Forgiveness
369,I didn't think,Apologies & Forgiveness
370,Two wrongs don't make a right,Apologies & Forgiveness
371,Thank you so much,Gratitude & Appreciation
372,Thanks a million,Gratitude & Appreciation
373,I can't thank you enough,Gratitude & Appreciation
374,I really appreciate it,Gratitude & Appreciation
375,That means a lot to me,Gratitude & Appreciation
376,You're too kind,Gratitude & Appreciation
377,You're so thoughtful,Gratitude & Appreciation
378,You're the best,Gratitude & Appreciation
379,You're amazing,Gratitude & Appreciation
380,What would I do without you?,Gratitude & Appreciation
381,You saved the day,Gratitude & Appreciation
382,You're a lifesaver,Gratitude & Appreciation
383,You're a godsend,Gratitude & Appreciation
384,From the bottom of my heart,Gratitude & Appreciation
385,I'm so grateful,Gratitude & Appreciation
386,Words can't express how grateful I am,Gratitude & Appreciation
387,I'm in your debt,Gratitude & Appreciation
388,I owe you one,Gratitude & Appreciation
389,I owe you big time,Gratitude & Appreciation
390,You didn't have to do that,Gratitude & Appreciation
391,You went above and beyond,Gratitude & Appreciation
392,You outdid yourself,Gratitude & Appreciation
393,That was so nice of you,Gratitude & Appreciation
394,That made my day,Gratitude & Appreciation
395,You really came through,Gratitude & Appreciation
396,Kudos to you,Gratitude & Appreciation
397,Hats off to you,Gratitude & Appreciation
398,You deserve all the credit,Gratitude & Appreciation
399,Give credit where credit is due,Gratitude & Appreciation
400,You earned it,Gratitude & Appreciation
401,Well deserved,Gratitude & Appreciation
402,I'm proud of you,Gratitude & Appreciation
403,You should be proud of yourself,Gratitude & Appreciation
404,You've come so far,Gratitude & Appreciation
405,Look how far you've come,Gratitude & Appreciation
406,All your hard work has paid off,Gratitude & Appreciation
407,Your efforts paid off,Gratitude & Appreciation
408,It was worth every bit,Gratitude & Appreciation
409,You always come through,Gratitude & Appreciation
410,I knew I could count on you,Gratitude & Appreciation
411,Hit the nail on the head,Idioms & Figurative
412,Beat around the bush,Idioms & Figurative
413,Bite the bullet,Idioms & Figurative
414,Break a leg,Idioms & Figurative
415,Call it a day,Idioms & Figurative
416,Cost an arm and a leg,Idioms & Figurative
417,Cut corners,Idioms & Figurative
418,Kill two birds with one stone,Idioms & Figurative
419,Let the cat out of the bag,Idioms & Figurative
420,Once in a blue moon,Idioms & Figurative
421,Pull someone's leg,Idioms & Figurative
422,Spill the beans,Idioms & Figurative
423,The ball is in your court,Idioms & Figurative
424,Throw in the towel,Idioms & Figurative
425,Add fuel to the fire,Idioms & Figurative
426,Back to square one,Idioms & Figurative
427,Bite off more than you can chew,Idioms & Figurative
428,Blow off steam,Idioms & Figurative
429,Break the ice,Idioms & Figurative
430,By the skin of your teeth,Idioms & Figurative
431,Catch someone red-handed,Idioms & Figurative
432,Cut the mustard,Idioms & Figurative
433,Don't rock the boat,Idioms & Figurative
434,Every dog has its day,Idioms & Figurative
435,Face the music,Idioms & Figurative
436,Fight fire with fire,Idioms & Figurative
437,Find a needle in a haystack,Idioms & Figurative
438,Get a taste of your own medicine,Idioms & Figurative
439,Get out of hand,Idioms & Figurative
440,Get the ball rolling,Idioms & Figurative
441,Go back to the drawing board,Idioms & Figurative
442,Go the extra mile,Idioms & Figurative
443,Have a blast,Idioms & Figurative
444,Hit the road,Idioms & Figurative
445,Jump on the bandwagon,Idioms & Figurative
446,Kick the bucket,Idioms & Figurative
447,Know the ropes,Idioms & Figurative
448,Lay low,Idioms & Figurative
449,Leave no stone unturned,Idioms & Figurative
450,Let sleeping dogs lie,Idioms & Figurative
451,Make ends meet,Idioms & Figurative
452,Miss the boat,Idioms & Figurative
453,Mum's the word,Idioms & Figurative
454,No pain no gain,Idioms & Figurative
455,Off the hook,Idioms & Figurative
456,On thin ice,Idioms & Figurative
457,Once bitten twice shy,Idioms & Figurative
458,Out of the blue,Idioms & Figurative
459,Pass the buck,Idioms & Figurative
460,Pull yourself together,Idioms & Figurative
461,Put your foot in your mouth,Idioms & Figurative
462,Read between the lines,Idioms & Figurative
463,Run out of steam,Idioms & Figurative
464,Saved by the bell,Idioms & Figurative
465,See eye to eye,Idioms & Figurative
466,Shoot yourself in the foot,Idioms & Figurative
467,Smell a rat,Idioms & Figurative
468,Steal someone's thunder,Idioms & Figurative
469,The best of both worlds,Idioms & Figurative
470,The tip of the iceberg,Idioms & Figurative
471,Throw caution to the wind,Idioms & Figurative
472,Tie the knot,Idioms & Figurative
473,Under someone's thumb,Idioms & Figurative
474,Up in the air,Idioms & Figurative
475,Bite the dust,Idioms & Figurative
476,Blood is thicker than water,Idioms & Figurative
477,Come out of your shell,Idioms & Figurative
478,Cross your fingers,Idioms & Figurative
479,Cut to the chase,Idioms & Figurative
